49765	
	(-1.193221466e-06,-6.842251332e-07)	(2.871578359e-08,-6.680635504e-08)	(-1.193319484e-06,-6.963074726e-07)	(3.07637319e-08,-7.013105596e-08)	(-1.193195267e-06,-6.708017102e-07)
	(-2.764064118e-07,3.157813019e-07)	(3.889945064e-08,-7.936085481e-08)	(-1.194610782e-06,-6.628140335e-07)	(3.548707244e-08,-7.651720243e-08)	(-1.193342175e-06,-6.873992673e-07)
	(2.381775495e-08,-6.809820073e-08)	(-1.167563047e-06,-7.66736167e-07)	(1.458220565e-08,-4.974623705e-08)	(-1.171399446e-06,-7.536117488e-07)	(-1.841297509e-07,2.051737625e-07)
	(1.780959571e-08,-4.95611264e-08)	(-1.179443893e-06,-7.396679009e-07)	(2.840330394e-08,-7.037990836e-08)	(-1.19124717e-06,-7.10258235e-07)	(1.856824609e-08,-4.936762538e-08)
	(-1.189123547e-06,-7.227684249e-07)	(-1.867779945e-07,2.06168014e-07)	(2.77728216e-08,-7.030713326e-08)	(-1.175623351e-06,-7.488842613e-07)	(2.774398961e-08,-6.886067124e-08)
	(-1.18301307e-06,-7.324122665e-07)	(1.023733728e-08,-3.610195423e-08)	(-1.039495166e-06,-8.592725377e-07)	(-1.110873251e-07,1.083796022e-07)	(1.103726019e-08,-3.543217959e-08)
	(-1.02149997e-06,-8.619102608e-07)	(1.333353769e-08,-4.605662687e-08)	(-1.053399723e-06,-8.529870587e-07)	(1.598644364e-08,-5.133644471e-08)	(-1.032837734e-06,-8.602863045e-07)
	(1.147579707e-08,-3.949458216e-08)	(-9.798935148e-07,-8.635212791e-07)	(1.624072676e-08,-5.179315322e-08)	(-1.014604862e-06,-8.637739631e-07)	(1.603284935e-08,-5.55784914e-08)
	(-9.944273907e-07,-8.634828298e-07)	(1.252641216e-08,-3.689722825e-08)	(-9.994860633e-07,-8.612576052e-07)	(-1.331261319e-07,1.076378556e-07)	(2.262717406e-08,-7.161635137e-08)
	(-1.06404464e-06,-8.522770161e-07)	(1.680281284e-08,-6.152346718e-08)	(-1.047349937e-06,-8.54912684e-07)	(2.08271158e-08,-6.900557913e-08)	(-1.085096803e-06,-8.441558353e-07)
	(1.644386867e-08,-5.20930962e-08)	(-1.07103624e-06,-8.500147301e-07)	(-1.86971345e-07,1.767544345e-07)	(2.602288224e-08,-8.372281829e-08)	(-1.079485084e-06,-8.472674377e-07)
	(1.185522822e-08,-4.54890277e-08)	(-9.440370307e-07,-8.614662716e-07)	(1.638060269e-08,-6.198943804e-08)	(-9.580330551e-07,-8.63146991e-07)	(1.535041523e-08,-5.783235662e-08)
	(-9.750856357e-07,-8.641386321e-07)	(1.181902689e-08,-4.082642609e-08)	(-9.621842457e-07,-8.631051666e-07)	(-1.40632411e-07,1.173604564e-07)	(2.226419934e-08,-7.800748474e-08)
	(-9.728061852e-07,-8.651857843e-07)	(9.180707893e-34,5.731360606e-35)	(-1.294696312e-06,-1.123740373e-06)	(-4.321692307e-34,-4.794987603e-34)	(-1.514575402e-06,-6.537188371e-07)
	(5.951249766e-09,-2.015992977e-08)	(-8.294996753e-07,-7.99231382e-07)	(-1.495017319e-34,1.36813192e-33)	(-8.38861358e-07,-8.085765715e-07)	(2.981771173e-09,-1.762828331e-09)
	(5.405919478e-09,-1.893700175e-08)	(-8.450701772e-07,-8.153535913e-07)	(2.687587342e-34,1.304591084e-33)	(-8.258011491e-07,-7.957768914e-07)	(-4.020216089e-34,1.132212223e-33)
	(-8.153818318e-07,-7.83365082e-07)	(8.980168199e-10,1.389815511e-09)	(5.134330653e-09,-2.033247762e-08)	(-8.174410079e-07,-7.87466435e-07)	(7.262886268e-09,-2.240972431e-08)
	(-8.053159814e-07,-7.700861071e-07)	(4.256578134e-34,1.189973476e-33)	(-8.003917013e-07,-7.660090286e-07)	(5.810465253e-09,-2.239629132e-08)	(-7.926464033e-07,-7.512314282e-07)
	(-9.252245686e-35,1.794489635e-33)	(-7.902778206e-07,-7.466791258e-07)	(-1.17694016e-09,-4.347693246e-11)	(5.883748291e-09,-2.512466227e-08)	(-7.832480319e-07,-7.33938003e-07)
	(1.664700456e-34,1.473161948e-33)	(-7.749468017e-07,-7.181265002e-07)	(-4.730816487e-10,-4.657333144e-10)	(-4.964341103e-35,1.477970502e-33)	(-7.689501278e-07,-6.994060274e-07)
	(4.283597086e-09,-2.426613661e-08)	(-7.75489854e-07,-7.189074617e-07)	(1.595733297e-35,1.505773263e-33)	(-7.827827987e-07,-7.333676386e-07)	(1.059950839e-08,-3.64689845e-08)
	(-8.525781967e-07,-8.205720663e-07)	(-1.12651641e-07,9.764120639e-08)	(1.421477804e-08,-5.652198881e-08)	(-8.604356564e-07,-8.256749559e-07)	(1.0977889e-08,-3.7514919e-08)
	(-8.36086971e-07,-8.045525101e-07)	(1.455507376e-08,-5.528635217e-08)	(-8.429359893e-07,-8.125750982e-07)	(1.814645889e-08,-6.75323802e-08)	(-9.393863108e-07,-8.601678342e-07)
	(1.213870445e-08,-5.122850343e-08)	(-9.266328204e-07,-8.568698017e-07)	(-1.650482372e-07,1.508367183e-07)	(1.710781174e-08,-6.313758426e-08)	(-9.147766667e-07,-8.530986352e-07)
	(2.142906271e-08,-7.418956724e-08)	(-9.27125094e-07,-8.553768466e-07)	(2.091381591e-08,-8.948197883e-08)	(-8.987908631e-07,-8.466610083e-07)	(1.807753511e-08,-7.414399379e-08)
	(-9.021451634e-07,-8.48936483e-07)	(-2.37830269e-07,2.124572566e-07)	(2.229018914e-08,-8.473008609e-08)	(-9.15585801e-07,-8.539902166e-07)	(1.871085917e-08,-7.282893977e-08)
	(-8.860423379e-07,-8.399016062e-07)	(2.162093479e-08,-8.916139609e-08)	(-8.821919016e-07,-8.386335254e-07)	(1.82656107e-08,-7.178815239e-08)	(-8.499922757e-07,-8.197021995e-07)
	(2.286309964e-08,-8.391196966e-08)	(-8.568102636e-07,-8.245202702e-07)	(2.358412979e-08,-9.303514463e-08)	(-8.653466181e-07,-8.306367923e-07)	(1.90330544e-08,-7.20538381e-08)
	(-8.690429142e-07,-8.302378797e-07)	(-2.188745926e-07,1.893873982e-07)	(-3.445820956e-09,-2.617400753e-08)	(-1.281385577e-06,-1.125924561e-06)	(1.058240699e-33,9.978123137e-35)
	(-1.221161702e-06,-1.139482447e-06)	(-1.556803641e-09,-2.586332071e-08)	(-1.247091502e-06,-1.134862396e-06)	(1.126955273e-33,1.090920227e-33)	(-1.259951923e-06,-1.131559627e-06)
	(3.969251592e-09,4.792333999e-11)	(6.050715967e-34,8.287435124e-34)	(-1.139356547e-06,-1.136052642e-06)	(7.154637034e-10,-3.844438184e-08)	(-1.172004439e-06,-1.141271065e-06)
	(-2.331702513e-10,-2.629935481e-08)	(-1.207190162e-06,-1.140121616e-06)	(6.727936936e-34,1.469332201e-33)	(-1.181222341e-06,-1.140192029e-06)	(-3.370465894e-09,1.492220243e-09)
	(1.992946009e-09,-2.467009097e-08)	(-1.146278207e-06,-1.13845973e-06)	(6.228470023e-34,1.9542519e-33)	(-9.588844745e-07,-1.075365388e-06)	(4.624381885e-10,-1.410979163e-09)
	(5.326488242e-09,-3.678671257e-08)	(-9.727018491e-07,-1.085104203e-06)	(4.239501374e-09,-2.655115036e-08)	(-9.455701191e-07,-1.065596123e-06)	(6.855595596e-34,1.865105232e-33)
	(-9.92079806e-07,-1.096001415e-06)	(4.061399206e-09,-2.814129562e-08)	(-1.106353339e-06,-1.134479048e-06)	(2.394202579e-09,-3.461975415e-08)	(-1.071953115e-06,-1.128195578e-06)
	(1.121883599e-33,1.602137834e-33)	(-1.062095733e-06,-1.125747639e-06)	(6.15602137e-34,1.132667857e-33)	(-1.099165628e-06,-1.133714342e-06)	(-1.746788565e-10,9.732305572e-10)
	(7.757907827e-34,1.11253019e-33)	(-1.024028218e-06,-1.11393926e-06)	(5.630978257e-10,1.864181331e-09)	(2.215321849e-09,-3.325162385e-08)	(-1.033418983e-06,-1.118339752e-06)
	(3.215189367e-09,-3.498538187e-08)	(-1.004084138e-06,-1.103010674e-06)	(8.005102615e-09,-2.479581723e-08)	(-8.744964252e-07,-9.971425567e-07)	(1.050626726e-08,-3.862323248e-08)
	(-8.925934126e-07,-1.022802163e-06)	(4.17959338e-09,-2.54555278e-08)	(-9.162024367e-07,-1.043252198e-06)	(2.262110398e-34,2.421670972e-33)	(-9.001486963e-07,-1.02732805e-06)
	(-3.950541563e-09,1.187950749e-11)	(1.462517275e-08,-8.528542879e-08)	(-9.319921549e-07,-1.059286876e-06)	(1.056978983e-08,-6.16180101e-08)	(-9.552154101e-07,-1.077306959e-06)
	(1.007915249e-08,-5.481682498e-08)	(-9.318342137e-07,-1.054980855e-06)	(-1.603425443e-07,1.392834421e-07)	(1.604878345e-08,-6.617060883e-08)	(-9.071752247e-07,-1.037239587e-06)
	(5.504806576e-08,-1.001013603e-07)	(-8.222395668e-07,-6.381636216e-07)	(1.515360671e-08,-3.652147934e-08)	(-8.179326574e-07,-9.049457454e-07)	(1.397784651e-08,-2.849737103e-08)
	(-7.947884185e-07,-8.11246362e-07)	(1.680039673e-08,-3.838246852e-08)	(-8.080254097e-07,-8.781711803e-07)	(-6.178445453e-34,1.646808894e-33)	(-8.170865248e-07,-9.006057749e-07)
	(6.427099647e-10,-3.760043278e-09)	(-1.040635183e-34,1.534304138e-33)	(-7.959059631e-07,-8.299593894e-07)	(-5.917448828e-10,4.431005479e-09)	(1.579668312e-08,-3.575344556e-08)
	(-7.972486834e-07,-8.404897483e-07)	(1.515336819e-34,1.947791739e-33)	(-8.057409268e-07,-8.680883645e-07)	(2.716827945e-08,-5.04256286e-08)	(-7.907643969e-07,-7.621197545e-07)
	(3.682213465e-08,-8.212694445e-08)	(-7.900918169e-07,-7.825076461e-07)	(3.723408856e-08,-7.763291972e-08)	(-7.915235406e-07,-7.534904476e-07)	(2.740957843e-08,-6.705055854e-08)
	(-7.959117753e-07,-8.20752809e-07)	(3.401730615e-08,-6.206784325e-08)	(-7.982342819e-07,-7.171461098e-07)	(2.804489496e-08,-5.75988251e-08)	(-7.912518368e-07,-7.923026448e-07)
	(-1.60817554e-07,1.42522819e-07)	(2.840245214e-08,-4.901397562e-08)	(-7.942950849e-07,-7.340994672e-07)	(-1.48038241e-07,1.439742191e-07)	(6.411203232e-08,-1.245558634e-07)
