49765	
	(1.312333917e-08,1.158769968e-08)	(1.100489125e-06,-1.613216484e-07)	(-9.190354171e-34,-5.210895036e-34)	(1.006561673e-06,-1.221520475e-07)	(-2.155255475e-11,1.55810843e-10)
	(1.594408482e-08,1.889311438e-08)	(1.014317369e-06,-1.229582531e-07)	(1.160285905e-08,1.453263921e-08)	(9.983588069e-07,-1.209760315e-07)	(-9.322908713e-34,-3.455412507e-34)
	(1.025793926e-06,-1.257628851e-07)	(1.316716147e-08,1.239564954e-08)	(1.083883997e-06,-1.497039058e-07)	(1.600752053e-08,1.584009716e-08)	(1.067654394e-06,-1.405296792e-07)
	(-9.129852845e-34,-1.945104808e-34)	(1.063295071e-06,-1.387913866e-07)	(-9.050683765e-34,-2.38807872e-34)	(1.081072605e-06,-1.4814014e-07)	(-5.951327517e-11,-2.518873728e-10)
	(-9.304013061e-34,-3.90309803e-34)	(1.044728402e-06,-1.311467847e-07)	(-3.266645488e-12,-1.643443899e-10)	(1.583847322e-08,1.673095664e-08)	(1.049202949e-06,-1.324963889e-07)
	(1.630893921e-08,1.812763194e-08)	(1.033520717e-06,-1.27337421e-07)	(9.639210203e-09,1.453797082e-08)	(9.480953998e-07,-1.231710479e-07)	(1.579546719e-08,2.25540406e-08)
	(9.634903661e-07,-1.208054969e-07)	(1.121632737e-08,1.502860916e-08)	(9.789838318e-07,-1.203294105e-07)	(-8.710710565e-34,-6.593161621e-34)	(9.678311757e-07,-1.207001299e-07)
	(1.307002493e-10,-3.951255112e-10)	(3.66875318e-08,4.548358977e-08)	(9.907812827e-07,-1.187430398e-07)	(2.724616253e-08,3.297382229e-08)	(1.005857804e-06,-1.210951243e-07)
	(2.273545593e-08,2.905010549e-08)	(9.898987652e-07,-1.199183286e-07)	(-9.949077798e-09,-1.73154487e-07)	(2.713244534e-08,3.639924266e-08)	(9.74174603e-07,-1.194141949e-07)
	(2.39101737e-08,6.902301557e-08)	(8.138660776e-07,-2.423595433e-07)	(1.218110212e-08,2.317482451e-08)	(8.962119884e-07,-1.403897913e-07)	(8.321782015e-09,1.94906848e-08)
	(8.56484171e-07,-1.689224583e-07)	(1.225691467e-08,2.431909694e-08)	(8.823353712e-07,-1.482912941e-07)	(-6.758670083e-34,-8.909335124e-34)	(8.945441848e-07,-1.415791965e-07)
	(3.904327807e-11,-9.726233664e-12)	(-5.562536444e-34,-9.460493433e-34)	(8.637640883e-07,-1.624431892e-07)	(2.616882022e-11,-4.7100429e-11)	(1.132535641e-08,2.443823993e-08)
	(8.67274752e-07,-1.591751221e-07)	(-6.949655409e-34,-8.263191128e-34)	(8.784518783e-07,-1.514523903e-07)	(1.435142783e-08,3.671711176e-08)	(8.401227737e-07,-1.869406643e-07)
	(2.337034461e-08,5.35897565e-08)	(8.456199153e-07,-1.788311091e-07)	(2.102481239e-08,5.202364009e-08)	(8.368659064e-07,-1.901682379e-07)	(1.96180159e-08,4.331885847e-08)
	(8.59141093e-07,-1.65490994e-07)	(1.538516516e-08,4.30398255e-08)	(8.278958067e-07,-2.061817655e-07)	(1.621578315e-08,3.833517196e-08)	(8.492138199e-07,-1.75793419e-07)
	(-1.797259202e-08,-1.869620605e-07)	(1.275574652e-08,3.492027909e-08)	(8.324518873e-07,-1.986232516e-07)	(-1.861650532e-08,-1.700669502e-07)	(3.301104919e-08,8.276238281e-08)
	(8.151466995e-07,-2.310668389e-07)	(3.106116303e-08,7.69185769e-08)	(8.205960545e-07,-2.166859558e-07)	(2.618186928e-08,7.085134092e-08)	(8.167082522e-07,-2.295691027e-07)
	(-4.507150083e-08,-3.651687955e-07)	(2.197914797e-08,6.100677278e-08)	(8.200199729e-07,-2.216696806e-07)	(1.802772122e-08,5.080906258e-08)	(8.237766211e-07,-2.139542001e-07)
	(-2.946514485e-08,-2.533024072e-07)	(2.641166074e-08,6.717451921e-08)	(8.249037902e-07,-2.089972379e-07)	(2.394161364e-08,5.979489461e-08)	(8.315865429e-07,-1.976842319e-07)
	(2.186769676e-08,3.710327057e-08)	(9.125493404e-07,-1.324042761e-07)	(2.967746737e-08,4.654918145e-08)	(9.262068374e-07,-1.269414761e-07)	(2.462774653e-08,3.694849133e-08)
	(9.433211823e-07,-1.230973837e-07)	(1.836225144e-08,2.934404167e-08)	(9.285877727e-07,-1.271666206e-07)	(-1.037712944e-08,-1.549581044e-07)	(3.281236679e-08,5.403897945e-08)
	(9.10013649e-07,-1.322236956e-07)	(2.431972229e-08,4.630084612e-08)	(8.82990782e-07,-1.466283198e-07)	(3.446495819e-08,5.978490068e-08)	(8.927653933e-07,-1.400255512e-07)
	(2.50053364e-08,4.471311593e-08)	(8.971267809e-07,-1.388017959e-07)	(-1.72174871e-08,-2.293090077e-07)	(2.050085512e-08,6.244534052e-08)	(8.583342233e-07,-3.414800181e-07)
	(1.839028046e-08,5.319464197e-08)	(8.672118483e-07,-3.439243616e-07)	(-6.260079848e-08,-3.798279658e-07)	(2.248156814e-08,6.570304428e-08)	(8.659771896e-07,-3.448020729e-07)
	(2.311613549e-08,6.444822753e-08)	(8.74310523e-07,-3.467803114e-07)	(2.019707905e-08,5.411643152e-08)	(8.775434151e-07,-3.46215513e-07)	(3.882605532e-08,4.947045728e-08)
	(9.545941097e-07,-2.881449995e-07)	(1.968723756e-08,3.158866968e-08)	(9.22245623e-07,-3.329775778e-07)	(1.683014275e-08,2.42607e-08)	(9.284755959e-07,-3.272088418e-07)
	(-3.283041301e-08,-2.211870308e-07)	(2.20391674e-08,3.040521036e-08)	(9.353513468e-07,-3.209684233e-07)	(2.435221981e-08,3.731074957e-08)	(9.298984385e-07,-3.276140909e-07)
