49765	
	(6.632198921e-09,-3.149178061e-08)	(-1.179434378e-06,-4.572805077e-07)	(-3.775260159e-34,1.618796614e-33)	(-1.180424591e-06,-4.389421464e-07)	(-1.257079372e-10,-9.365188166e-12)
	(6.878183961e-09,-2.682921039e-08)	(-1.183051867e-06,-4.164499271e-07)	(-7.477059004e-34,1.127475382e-33)	(-1.239208315e-06,-3.077292347e-07)	(6.379315647e-11,7.631110063e-11)
	(1.112246086e-08,-2.90996913e-08)	(-1.232735166e-06,-3.136311479e-07)	(8.385032304e-09,-2.084918234e-08)	(-1.245867316e-06,-3.012636421e-07)	(-6.460553419e-34,1.269385053e-33)
	(-1.22424132e-06,-3.241889636e-07)	(7.555450564e-09,-2.602513769e-08)	(-1.189078362e-06,-3.911179676e-07)	(9.705421955e-09,-3.09503571e-08)	(-1.196886242e-06,-3.692114917e-07)
	(-5.125387134e-34,1.442620663e-33)	(-1.199564895e-06,-3.642043502e-07)	(-5.238324682e-34,1.480363652e-33)	(-1.190447112e-06,-3.873843209e-07)	(-2.271390788e-10,-6.944163008e-11)
	(-6.648458896e-34,1.310536223e-33)	(-1.210870424e-06,-3.429373438e-07)	(-1.094103244e-10,-7.281619339e-11)	(1.020369543e-08,-2.985997098e-08)	(-1.207768444e-06,-3.474356256e-07)
	(1.093195952e-08,-3.024584596e-08)	(-1.21833611e-06,-3.3109979e-07)	(7.435491261e-09,-1.718399555e-08)	(-1.292636827e-06,-2.732932692e-07)	(1.202208541e-08,-2.817533722e-08)
	(-1.277309478e-06,-2.797035453e-07)	(8.340518419e-09,-1.999531231e-08)	(-1.262971868e-06,-2.884436157e-07)	(-7.886002527e-34,9.236061311e-34)	(-1.273322326e-06,-2.823147967e-07)
	(-7.82314976e-11,-2.298193066e-10)	(2.583518092e-08,-6.774106207e-08)	(-1.251311995e-06,-2.938429696e-07)	(1.915673704e-08,-4.995292247e-08)	(-1.239152809e-06,-3.060085992e-07)
	(1.647684094e-08,-4.111661663e-08)	(-1.252850504e-06,-2.947047608e-07)	(-9.711381713e-08,2.094867802e-07)	(2.000303669e-08,-4.904262312e-08)	(-1.266787607e-06,-2.844832467e-07)
	(8.104154804e-09,-6.360687198e-08)	(-1.465696049e-06,-3.50127263e-07)	(9.636489418e-09,-2.268690222e-08)	(-1.349134597e-06,-2.642327546e-07)	(6.097779219e-09,-1.724109392e-08)
	(-1.398894536e-06,-2.778788184e-07)	(9.487276418e-09,-2.331701811e-08)	(-1.365743796e-06,-2.66242434e-07)	(-7.125978605e-34,5.133111508e-34)	(-1.351213136e-06,-2.648303595e-07)
	(3.430568746e-11,-1.626554434e-11)	(-6.078190955e-34,3.439000202e-34)	(-1.389293065e-06,-2.737910497e-07)	(-4.45326081e-12,-3.284374171e-11)	(8.527876662e-09,-2.246546243e-08)
	(-1.384676345e-06,-2.71467799e-07)	(-7.036411675e-34,4.777574626e-34)	(-1.370740052e-06,-2.679477884e-07)	(9.46067771e-09,-3.208951227e-08)	(-1.421629443e-06,-2.91784681e-07)
	(1.600620213e-08,-4.900076212e-08)	(-1.413612874e-06,-2.839550825e-07)	(1.346712593e-08,-4.65235081e-08)	(-1.426256898e-06,-2.939344154e-07)	(1.43575446e-08,-3.975050186e-08)
	(-1.395173486e-06,-2.746008248e-07)	(8.635338241e-09,-3.745461703e-08)	(-1.440225646e-06,-3.100108639e-07)	(1.139886147e-08,-3.423469972e-08)	(-1.40871384e-06,-2.823625584e-07)
	(-1.122764393e-07,2.500134379e-07)	(7.725001149e-09,-3.015837565e-08)	(-1.433113234e-06,-3.027493943e-07)	(-1.048000188e-07,2.302209044e-07)	(1.510938191e-08,-7.687493403e-08)
	(-1.462242639e-06,-3.35051622e-07)	(1.622322398e-08,-7.094082354e-08)	(-1.452096675e-06,-3.189547402e-07)	(1.147671409e-08,-6.477728011e-08)	(-1.45950883e-06,-3.342660133e-07)
	(-2.310401052e-07,4.982831129e-07)	(1.041938825e-08,-5.478761774e-08)	(-1.45342202e-06,-3.258176591e-07)	(9.299103632e-09,-4.479204492e-08)	(-1.44697412e-06,-3.17862471e-07)
	(-1.581331516e-07,3.445770178e-07)	(1.460717749e-08,-6.09118687e-08)	(-1.444907631e-06,-3.114531604e-07)	(1.452672992e-08,-5.38155061e-08)	(-1.43426287e-06,-3.005100936e-07)
	(1.699637485e-08,-3.990828348e-08)	(-1.330135544e-06,-2.636409234e-07)	(2.266577654e-08,-5.392631343e-08)	(-1.3147813e-06,-2.648814817e-07)	(1.880660317e-08,-4.433062512e-08)
	(-1.296984668e-06,-2.704124043e-07)	(1.424322108e-08,-3.305712761e-08)	(-1.312658286e-06,-2.666786615e-07)	(-8.817612818e-08,1.958134788e-07)	(2.500664919e-08,-6.029686074e-08)
	(-1.332478849e-06,-2.618132832e-07)	(1.856142509e-08,-4.61178926e-08)	(-1.364531105e-06,-2.644407806e-07)	(2.602611491e-08,-6.416882993e-08)	(-1.352421196e-06,-2.613868048e-07)
