49765	
	(4.700133803e-07,-1.343304638e-06)	(-3.24323137e-07,-1.894398192e-07)	(7.711518949e-08,2.248626696e-08)	(4.604517769e-07,-1.343874824e-06)	(6.354965191e-08,1.534526746e-08)
	(4.822322635e-07,-1.342809669e-06)	(7.798202672e-08,1.834276752e-08)	(4.849667983e-07,-1.34395168e-06)	(6.066713131e-08,1.066321054e-08)	(5.093809382e-07,-1.336988165e-06)
	(7.274856091e-08,1.37790927e-08)	(5.038581442e-07,-1.339834032e-06)	(8.005922802e-08,1.661569565e-08)	(4.961647689e-07,-1.34249268e-06)	(6.208512782e-08,1.3194031e-08)
	(4.943841781e-07,-1.340960915e-06)	(-3.065730121e-07,-1.824336728e-07)	(1.858516665e-08,1.003128415e-08)	(3.653254175e-07,-1.566094033e-06)	(-2.871459382e-35,-8.020660162e-34)
	(3.937876753e-07,-1.603587181e-06)	(1.721275241e-08,8.578156515e-09)	(3.809053335e-07,-1.589027024e-06)	(-6.748611244e-35,-8.165826933e-34)	(3.757191728e-07,-1.581224229e-06)
	(-7.269090635e-11,-1.253256487e-10)	(1.187785969e-34,-5.805028597e-34)	(4.379496478e-07,-1.639547782e-06)	(2.26439446e-08,8.766136133e-09)	(4.195062503e-07,-1.627914221e-06)
	(1.686296597e-08,7.431578803e-09)	(3.999732338e-07,-1.610385106e-06)	(7.406956367e-35,-5.862063566e-34)	(4.145910828e-07,-1.62304101e-06)	(2.84201565e-11,8.678234067e-11)
	(1.469227363e-08,5.109794059e-09)	(4.339191098e-07,-1.637480328e-06)	(1.605431229e-34,1.175078749e-34)	(5.74623685e-07,-1.671358505e-06)	(1.110467149e-10,-1.299600075e-10)
	(1.986237276e-08,7.714711546e-10)	(5.631494934e-07,-1.672638423e-06)	(1.508793618e-08,-1.370912666e-10)	(5.867414468e-07,-1.670364688e-06)	(2.289825234e-34,-9.134486825e-35)
	(5.460732601e-07,-1.672018048e-06)	(1.466974938e-08,4.022390176e-09)	(4.589641775e-07,-1.651391843e-06)	(1.799725311e-08,3.924045859e-09)	(4.834044368e-07,-1.661322388e-06)
	(2.083840793e-34,-3.412493664e-34)	(4.899636323e-07,-1.662864567e-06)	(1.495684524e-34,-3.623025118e-34)	(4.632415326e-07,-1.653068889e-06)	(-2.521955906e-11,2.26121649e-10)
	(1.794420334e-34,-1.106860636e-34)	(5.178725816e-07,-1.66934273e-06)	(-6.685386431e-11,1.450091811e-10)	(1.826689241e-08,2.694912931e-09)	(5.111275192e-07,-1.668581258e-06)
	(1.935836791e-08,1.866443009e-09)	(5.345817033e-07,-1.671906467e-06)	(1.538127749e-08,-1.730276482e-09)	(6.596761958e-07,-1.648175207e-06)	(2.359834741e-08,-2.064688799e-09)
	(6.375968997e-07,-1.657995723e-06)	(1.561856427e-08,-8.437443798e-10)	(6.150662101e-07,-1.664588513e-06)	(7.549507593e-35,3.449462242e-34)	(6.314234351e-07,-1.659653147e-06)
	(-4.035218087e-10,3.048514753e-10)	(4.82400571e-08,6.17877428e-10)	(5.978172999e-07,-1.671455249e-06)	(3.46998597e-08,9.515634256e-10)	(5.755928109e-07,-1.672854784e-06)
	(3.034430716e-08,-5.328825452e-10)	(5.991154017e-07,-1.669171992e-06)	(-2.23457274e-07,-1.327294423e-07)	(3.81904174e-08,-1.834485881e-09)	(6.220929402e-07,-1.664328672e-06)
	(1.082858631e-07,-1.531456349e-08)	(8.21044179e-07,-1.366655143e-06)	(2.632228283e-08,-4.577952233e-09)	(7.318834905e-07,-1.597444214e-06)	(2.450724629e-08,-4.351433895e-09)
	(7.827883631e-07,-1.52834092e-06)	(2.837617372e-08,-4.992069823e-09)	(7.503356694e-07,-1.577452203e-06)	(-2.618358614e-34,7.156686836e-34)	(7.341184634e-07,-1.594468929e-06)
	(-6.608842714e-11,-1.209597315e-11)	(-4.527618256e-34,8.260345315e-34)	(7.739488354e-07,-1.543345758e-06)	(-5.848735545e-11,2.516637464e-11)	(2.969518657e-08,-5.280538161e-09)
	(7.696299019e-07,-1.551202598e-06)	(-1.686291334e-34,7.29982363e-34)	(7.552299661e-07,-1.570012917e-06)	(4.908224765e-08,-8.296285575e-09)	(8.014578297e-07,-1.487490253e-06)
	(6.9137208e-08,-1.225026537e-08)	(7.958984363e-07,-1.506291993e-06)	(6.98678006e-08,-1.195201385e-08)	(8.053771291e-07,-1.480568643e-06)	(5.378163924e-08,-9.595018253e-09)
	(7.79757322e-07,-1.536665615e-06)	(6.116830522e-08,-9.652898807e-09)	(8.131036536e-07,-1.444820298e-06)	(4.921586663e-08,-8.637273362e-09)	(7.914468578e-07,-1.512842429e-06)
	(-2.410306783e-07,-1.625946e-07)	(4.844713776e-08,-7.863688243e-09)	(8.088989419e-07,-1.461348492e-06)	(-2.164916228e-07,-1.492941257e-07)	(1.222385162e-07,-2.077737244e-08)
	(8.244176101e-07,-1.392175475e-06)	(1.099919524e-07,-1.885682618e-08)	(8.211853096e-07,-1.423262652e-06)	(1.062339037e-07,-1.655470472e-08)	(8.219751184e-07,-1.394770825e-06)
	(-4.574523564e-07,-3.212227082e-07)	(9.017256803e-08,-1.387327882e-08)	(8.196283655e-07,-1.411474311e-06)	(7.378763533e-08,-1.137767103e-08)	(8.165922698e-07,-1.42796134e-06)
	(-3.201004622e-07,-2.229306181e-07)	(9.48612844e-08,-1.591155221e-08)	(8.171047659e-07,-1.439651495e-06)	(8.191854087e-08,-1.394931935e-08)	(8.108243811e-07,-1.464265434e-06)
	(4.092116043e-08,-6.178388187e-09)	(7.096309362e-07,-1.618449537e-06)	(5.050065901e-08,-6.375920661e-09)	(6.907025925e-07,-1.633502799e-06)	(3.936034583e-08,-4.270749714e-09)
	(6.665352624e-07,-1.646523561e-06)	(3.164887847e-08,-4.240666537e-09)	(6.873492923e-07,-1.633758553e-06)	(-2.019037084e-07,-1.262326821e-07)	(5.98640505e-08,-8.569096589e-09)
	(7.132323618e-07,-1.618119483e-06)	(5.385309755e-08,-9.228492339e-09)	(7.497158118e-07,-1.581159579e-06)	(6.792261698e-08,-1.079047656e-08)	(7.367597327e-07,-1.597664686e-06)
	(5.054340403e-08,-8.223212735e-09)	(7.307944412e-07,-1.60101065e-06)	(-2.988482401e-07,-1.919519868e-07)	(1.513871385e-07,6.162551089e-09)	(6.820046389e-07,-1.130378116e-06)
	(1.367670261e-07,9.960273217e-09)	(6.592848546e-07,-1.119425734e-06)	(-4.256717077e-07,-2.938347683e-07)	(1.622291423e-07,8.539371428e-09)	(6.639499278e-07,-1.119010358e-06)
	(1.639258431e-07,1.167438182e-08)	(6.437453562e-07,-1.109427985e-06)	(1.435853375e-07,1.34330236e-08)	(6.343594761e-07,-1.108009494e-06)	(1.407523366e-07,4.497668932e-08)
	(4.158961642e-07,-1.136072854e-06)	(9.881395731e-08,2.213701344e-08)	(5.168837518e-07,-1.096384024e-06)	(7.744474961e-08,1.918887683e-08)	(4.978489904e-07,-1.100748903e-06)
