132921	
	(-0.02841935251,0.01715287894)	(0.7704948366,0.3947289353)	(-0.03910108458,0.0249925736)	(0.7835411976,0.3717905406)	(-0.05708607101,0.03378630518)
	(0.7648958822,0.4021396014)	(0.001860588907,-0.01138324359)	(-0.06715381141,0.0421072149)	(0.7781045652,0.3791751221)	(-0.08979555039,0.05304020811)
	(0.7627806924,0.402014298)	(-0.06177843087,0.0344198798)	(0.7496845637,0.4251533384)	(-0.108933711,0.03526665464)	(0.6689114669,0.5328191527)
	(-0.1076809212,0.02908941158)	(0.6481626607,0.5580120434)	(-0.07268519598,0.02083195826)	(0.6564404474,0.5499057486)	(0.01086155264,-0.009200094626)
	(-0.07238776757,0.02439518116)	(0.6764555101,0.5248878884)	(-0.06934645885,0.03201988512)	(0.7150327533,0.4739612804)	(-0.06662015794,0.03490475544)
	(0.7334923244,0.4477534477)	(0.001778532362,-0.0127267569)	(-0.07180827762,0.02862364421)	(0.6959112011,0.4998585676)	(0.006977871087,-0.0109899132)
	(-0.0952150563,0.05293074121)	(0.7473866034,0.4249064302)	(-0.1014016259,0.04987310794)	(0.7276274044,0.4542518898)	(-0.1045756334,0.04562117929)
	(0.7092471827,0.4802434758)	(-0.1078976145,0.04065995633)	(0.6883903958,0.5080944565)	(-0.1804176928,0.02766190294)	(0.5800975182,0.624124236)
	(0.02382602644,-0.02378034881)	(-0.2061558335,0.0295831067)	(0.574364519,0.6261640741)	(-0.1890361602,0.03415588366)	(0.5973598145,0.6060174356)
	(-0.1905155582,0.02277289046)	(0.5584845021,0.6427893682)	(-0.1646502642,0.0212927437)	(0.5642805362,0.6406564413)	(-0.1833244722,0.01422516595)
	(0.5300440081,0.6677667852)	(-0.1487296118,0.01569708603)	(0.5481052465,0.6565063647)	(0.01968057155,-0.01930550899)	(-0.2146517996,0.03666871908)
	(0.5917241671,0.6080931074)	(-0.1974282427,0.04155432566)	(0.6141112924,0.5871926566)	(0.02562687103,-0.02661225112)	(-0.1433573577,0.04409002685)
	(0.660399544,0.5404131778)	(-0.1425741812,0.03660039903)	(0.6396011158,0.5652781133)	(0.01892016741,-0.01910990937)	(-0.1699676405,0.03968770151)
	(0.6270187964,0.5766401301)	(-0.1793118111,0.05114107859)	(0.6488617687,0.5498418766)	(-0.2064709029,0.05372952444)	(0.6361344572,0.5605123976)
	(-0.2237603441,0.04908931853)	(0.616115744,0.5803298997)	(-0.2250059957,0.02057088622)	(0.5404821826,0.6535323464)	(-0.252595009,0.01895925928)
	(0.5298785976,0.6578603104)	(-0.2567679765,0.01054369417)	(0.5061971663,0.6756848988)	(-0.2349430338,0.005870539848)	(0.4941364717,0.6880841863)
	(-0.2180290544,0.01084457743)	(0.5114674154,0.6777636943)	(0.0279652745,-0.02856561885)	(-0.2303228387,-0.003780297964)	(0.4632649781,0.7098500798)
	(-0.2686339714,-0.005792648036)	(0.460474984,0.7057198384)	(-0.2472560601,-0.009424499019)	(0.4471548156,0.7174962474)	(-0.2157657599,-0.01303079218)
	(0.4285879868,0.7330111205)	(-0.2737526583,0.004460688562)	(0.4887031512,0.685502118)	(-0.2519368388,8.95227629e-05)	(0.4764540984,0.697762417)
	(0.03186276111,-0.03297193439)	(-0.2085257555,-0.006891014076)	(0.4498320897,0.7213387176)	(0.02634962554,-0.02696145372)	(-0.04776712464,-0.04452810295)
