22269	
	(0.0007646435523,0.0006068237311)	(0.0004158278361,0.0003242331612)	(7.343413867e-35,4.692987414e-35)	(-1.820902356e-34,-1.229038522e-34)	(0.000713350748,0.0005473310388)
	(0.0004055629927,0.0003062967591)	(3.238231895e-35,2.066301069e-35)	(-9.100312365e-35,-6.237338299e-35)	(-0.01780442661,-0.01205951816)	(3.130945458e-35,2.035588944e-35)
	(-9.112696231e-35,-6.423533391e-35)	(-0.0181334468,-0.01262406337)	(0.002667873435,0.002227519418)	(0.001280679742,0.0009954094183)	(-0.0186246892,-0.01387180455)
	(0.002091005488,0.001750807604)	(0.00101359785,0.000803655566)	(0.002816116481,0.002279116604)	(0.001411975496,0.001061954643)	(0.001491564577,0.001215859517)
	(0.000765927328,0.0006018343222)	(0.002253302555,0.00182794635)	(0.001142830969,0.0008755878595)	(0.003301144726,0.002718213955)	(0.001590763854,0.001196897827)
	(0.001498576943,0.001257780464)	(0.0007340080074,0.0005931126717)	(-0.01858183817,-0.01362731033)	(0.002259871365,0.001780827595)	(0.001201335567,0.0008956656848)
	(0.001509958066,0.001194598807)	(0.0008136193224,0.0006211388384)	(-0.01820841363,-0.01291260862)	(0.002093983474,0.001609545452)	(0.001159459373,0.0008479047339)
	(0.001449214708,0.001109370118)	(0.0008172894857,0.0006050358221)	(0.003867087461,0.003239958907)	(0.001780292693,0.001333474226)	(0.00430134539,0.003723012828)
	(0.001848905481,0.001398913927)	(0.004439648804,0.003725381537)	(0.001999422255,0.001467224447)	(0.003846336088,0.003323164686)	(0.001684240648,0.001295600059)
	(-0.0188792044,-0.01463875499)	(0.004467930948,0.003636519189)	(0.002111890315,0.001509431882)	(0.00533306553,0.004483317209)	(0.002316427616,0.001638117641)
	(0.004748075419,0.004115084154)	(0.002003690261,0.00148890407)	(-0.01894458696,-0.01496613073)	(0.005170982462,0.004483696729)	(0.002145378982,0.00156392329)
	(0.004873165177,0.004096837961)	(0.002154000659,0.001554912666)	(0.001850180177,0.003845530184)	(2.38741741e-05,-0.000197004682)	(0.00115901359,0.002573609055)
	(-1.092444123e-05,-0.0001395793918)	(-0.01858793602,-0.02141007329)	(0.001721806501,0.003746176843)	(1.764822912e-06,-0.0002434758919)	(0.001080947752,0.00253219648)
	(-2.495686149e-05,-0.0001780611015)	(0.0005126662042,0.001287979636)	(-2.473749082e-05,-9.519455734e-05)	(0.0005577039488,0.00132135992)	(-1.862876437e-05,-7.582464897e-05)
	(-1.23271139e-35,-2.270521461e-35)	(-9.742486927e-35,-1.110258477e-34)	(-0.01870664912,-0.02141448843)	(-2.406217799e-35,-4.576260797e-35)	(-1.956320768e-34,-2.256219711e-34)
	(-1.512571344e-35,-2.775285643e-35)	(-9.626850177e-35,-1.122942284e-34)	(-0.01848906902,-0.02178393088)	(0.0004473927973,0.001285511014)	(-3.748108662e-05,-0.0001463679668)
	(0.0004910616913,0.001300693946)	(-3.098340913e-05,-0.0001190086516)	(-1.652493423e-35,-2.932217567e-35)	(-9.411361154e-35,-1.123228733e-34)	(-0.01821770284,-0.02196586182)
	(-3.209957491e-35,-5.845265406e-35)	(-1.867449706e-34,-2.254529365e-34)	(0.0004142976087,0.001269727855)	(-3.898184095e-05,-0.0001595857267)	(-3.390443419e-35,-5.859648684e-35)
	(-1.898024606e-34,-2.244397843e-34)	(0.004541114783,0.006511364136)	(0.0005934920322,0.0003119180397)	(-0.01904004487,-0.02012053556)	(0.005281230157,0.007196014177)
	(0.0007725036507,0.0003956082177)	(0.005124901309,0.007226449389)	(0.0006801797445,0.0002862508546)	(0.004420200427,0.006538273732)	(0.0005243713107,0.0002218799524)
	(0.005855132752,0.007854528631)	(0.000862574503,0.0003626055332)	(0.005801805054,0.005802980863)	(0.001793033777,0.001353920431)	(0.004742997769,0.005141753741)
	(0.001301418789,0.001088726664)	(0.004979930524,0.005614819447)	(0.001235318913,0.001010765809)	(0.004892894268,0.005681516841)	(0.001136915956,0.0009317254799)
	(0.00425061056,0.004791028437)	(0.001094120732,0.0009603298704)	(-0.01947040919,-0.01778475976)	(0.004981956778,0.005497950886)	(0.001298145954,0.001064356671)
	(0.004252666688,0.004900849135)	(0.001039687912,0.0009139040629)	(0.004263942917,0.005022461164)	(0.0009888399239,0.0008669544638)	(-0.01946215637,-0.01824331288)
	(0.005240102174,0.005467451842)	(0.001524521221,0.001215633284)	(-0.01938817047,-0.01729229096)	(0.005789997915,0.005945672054)	(0.001694978629,0.001286865471)
	(0.005461000484,0.005801369687)	(0.001511628867,0.001184659375)	(0.005395262364,0.005117899777)	(0.001886454227,0.001436809286)	(0.00592544681,0.005570718592)
	(0.002056928058,0.001507312254)	(0.005806900456,0.005645352733)	(0.001899495936,0.001422157174)	(0.005235158784,0.005156528888)	(0.001713919052,0.001342239531)
	(-0.01931607421,-0.01663595822)	(0.006095139486,0.005520640589)	(0.002250347194,0.00160213784)	(0.005735072171,0.004824070401)	(0.002448402915,0.001698926589)
	(0.006108118904,0.005214341843)	(0.002503310467,0.001720204339)	(0.006098454481,0.005341303205)	(0.002391157068,0.001670616295)	(0.005573999158,0.004961251175)
	(0.002173385564,0.001579887653)	(0.005576144783,0.005092145757)	(0.002075857372,0.001532070126)	(-0.01914585084,-0.01586579826)	(0.005585365434,0.004843324148)
	(0.002278640315,0.001627087155)	(-0.01898111557,-0.01525015336)	(0.006334435264,0.006239739613)	(0.001965407057,0.001415377474)	(0.006358565678,0.006100952531)
	(0.00207714731,0.001485031554)	(-0.01924764737,-0.01672340071)	(0.006973538909,0.006430363418)	(0.00238345247,0.001603616414)	(0.006845166379,0.006505438644)
